<Soldiers, 1>
<Aid, 1>
<Societies, 1>
<faithfully, 1>
<housewifely, 1>
<creature, 1>
<helped, 1>
<workers, 1>
<thinking, 2>
<reward, 1>
<loved, 5>
<Long, 1>
<lonely, 4>
<idle, 1>
<peopled, 1>
<imaginary, 1>
<nature, 1>
<bee, 1>
<dolls, 4>
<taken, 3>
<dressed, 1>
<child, 4>
<pets, 1>
<whole, 3>
<among, 2>
<outcasts, 1>
<outgrew, 1>
<idols, 1>
<passed, 2>
<cherished, 1>
<tenderly, 2>
<reason, 1>
<hospital, 2>
<infirm, 1>
<pins, 1>
<cotton, 1>
<vitals, 1>
<harsh, 1>
<blows, 1>
<neglect, 1>
<saddened, 1>
<repulsive, 1>
<fed, 1>
<clothed, 1>
<nursed, 1>
<caressed, 1>
<affection, 1>
<failed, 1>
<One, 3>
<forlorn, 1>
<fragment, 1>
<dollanity, 1>
<belonged, 1>
<having, 4>
<tempestuous, 1>
<wreck, 1>
<rag, 1>
<bag, 2>
<dreary, 1>
<poorhouse, 1>
<rescued, 1>
<Having, 1>
<top, 2>
<tied, 1>
<cap, 2>
<arms, 2>
<legs, 1>
<gone, 2>
<hid, 1>
<deficiencies, 1>
<folding, 1>
<blanket, 1>
<devoting, 1>
<bed, 3>
<chronic, 1>
<invalid, 2>
<dolly, 1>
<touched, 1>
<hearts, 1>
<breathe, 1>
<air, 3>
<under, 1>
<coat, 1>
<sang, 2>
<lullabies, 1>
<dirty, 1>
<whispering, 1>
<hope, 1>
<angel, 1>
<human, 2>
<often, 2>
<wept, 1>
<weep, 1>
<piano, 1>
<practiced, 1>
<patiently, 1>
<jingling, 1>
<instrument, 1>
<hint, 1>
<Nobody, 1>
<however, 2>
<wipe, 1>
<yellow, 3>
<keys, 1>
<tune, 1>
<lark, 1>
<hopefully, 1>
<Beths, 1>
<shy, 2>
<sitting, 1>
<corners, 1>
<living, 1>
<sacrifices, 1>
<hearth, 2>
<stops, 1>
<chirping, 1>
<sweet, 2>
<sunshiny, 1>
<presence, 1>
<vanishes, 1>
<leaving, 1>
<silence, 3>
<shadow, 1>
<anybody, 2>
<trial, 1>
<baby, 1>
<accidently, 1>
<dropped, 2>
<coal, 1>
<hod, 1>
<insisted, 1>
<fall, 1>
<ruined, 1>
<forever, 1>
<Petrea, 1>
